model,latency
CodeLlama-34b-Instruct-hf,1.4054723645114438
deepseek-llm-67b-chat,1.7252334322193004
claude-2,1.6711658352098202
openchat-3.5-1210,0.3782163908411479
sheep-duck-llama-2-70b-v1.1,3.763820790136408
gpt-4-0613,1.603914098972148
falcon-7b-instruct,2.754302051525966
openchat_3.5,0.3164935419860309
Yi-34B-Chat,2.4769338955621256
openchat-3.5-0106,0.2972074152097879
Mixtral-8x7B-Instruct-v0.1,20.01055773248435
claude-v1.3,0.9568404388589333
zephyr-7b-alpha,1.585963880637496
deepseek-llm-7b-chat,0.2600891604278092
gpt-4-1106-preview,0.8323502742195076
gpt-3.5,3.031206084601039
gpt-4-0314,0.9914188094435061
claude-instant-1.2,0.9463051759971408
claude-2.1,1.2556561779979492
sheep-duck-llama-2-13b,3.265727689253196
koala-13B-HF,1.63865755506118
llama-2-7b-chat-hf,0.8613345876245814
SUS-Chat-34B,1.0628226926108362
Nous-Hermes-2-Mixtral-8x7B-DPO,29.886207558875842
vicuna-7b-v1.5,0.30159937743190546
vicuna-13b-v1.5,1.5893434526091583
mistral-medium,2.9898881757554165
zephyr-7b-beta,1.8467722653417
Wizard-Vicuna-13B-Uncensored-HF,0.6014363966500333
gpt4all-13b-snoozy,4.506929020234746
llama-2-70b-chat-hf,1.8426368746250745
command,0.503824447834275
WizardLM-70b-v1.0,5.322911590982281
tulu-2-dpo-70b,6.358550688356185
Mistral-7B-Instruct-v0.1,0.5291587970924807
oasst-sft-4-pythia-12b-epoch-3.5,0.6340913295695144
llama-2-13b-chat-hf,0.7715245669493686
vicuna-33b-v1.3,1.1146606339135263
WizardLM-13b-v1.2,2.6016942526217166
tulu-2-dpo-7b,1.3138667622591864
