model,latency
InternVL2-Llama3-76B,3.114070534839201
InternVL2-26B,1.0386292812723366
gpt-4o-2024-05-13,1.0694715724240909
claude-3-5-sonnet-20240620,2.1419643781420827
idefics-9b-instruct,1.4799789114093953
claude-3-opus-20240229,2.6997723769014104
gpt-4o-mini-2024-07-18,0.6847286470238105
gpt-4-1106-vision-preview,1.9390430972762676
Phi-3.5-vision-instruct,0.9667233222621183
InternVL2-40B,1.5607129299048943
gpt-4o-2024-08-06,0.8286696862643078
idefics-80b-instruct,9.909203573061212
InternVL2-8B,0.5617990863945588
gemini-1.5-flash-latest,13.396903850443566
Idefics3-8B-Llama3,0.5553913162090334
Phi-3-vision-128k-instruct,1.1679793685649222
Pixtral-12B-2409,0.3775700848214281
internlm-xcomposer2d5-7b,6.095479326235735
